"1","2007-10-10","Catissue Suite","2007-10-10","Catissue Suite",\N
"2","2007-10-10","Base class for defining all domain objects in the system.","2007-10-10","edu.wustl.catissuecore.domain.AbstractDomainObject",\N
"3",\N,"System generated unique identifier.",\N,"id","954196821"
"4","2007-10-10","A single unit of tissue, body fluid, or derivative biological macromolecule that is collected or created from a Participant","2007-10-10","edu.wustl.catissuecore.domain.Specimen",\N
"5",\N,\N,\N,"AssociationName_21",\N
"6",\N,\N,\N,"AssociationName_20",\N
"7",\N,\N,\N,"AssociationName_19",\N
"8",\N,\N,\N,"AssociationName_18",\N
"9",\N,\N,\N,"AssociationName_17",\N
"10",\N,\N,\N,"AssociationName_16",\N
"11",\N,\N,\N,"AssociationName_15",\N
"12",\N,\N,\N,"AssociationName_14",\N
"13",\N,\N,\N,"AssociationName_13",\N
"14",\N,\N,\N,"AssociationName_12",\N
"15",\N,"System generated unique identifier.",\N,"id","954196821"
"16",\N,"Reference to dimensional position two of the specimen in Storage Container.",\N,"positionDimensionTwo","267670155"
"17",\N,\N,\N,"collectionStatus","-292159954"
"18",\N,"Histopathological character of the specimen e.g. Non-Malignant, Malignant, Non-Malignant Diseased, Pre-Malignant.",\N,"pathologicalStatus","267670153"
"19",\N,"Is this specimen still physically available in the tissue bank?",\N,"available","267670148"
"20",\N,\N,\N,"isCollectionProtocolRequirement","-292159955"
"21",\N,"Barcode assigned to the specimen.",\N,"barcode","267670149"
"22",\N,\N,\N,"createdOn","-292159956"
"23",\N,"Type of specimen. e.g. Serum, Plasma, Blood, Fresh Tissue etc.",\N,"type","267670156"
"24",\N,"Human readable unique label/name assigned to specimen.",\N,"label","267670151"
"25",\N,"Defines whether this Specimen record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","267670147"
"26",\N,"Shows specimen's heredity status e.g. Original, Derivative, Aliquot",\N,"lineage","267670152"
"27",\N,"Comments on specimen.",\N,"comment","267670150"
"28",\N,"Reference to dimensional position one of the specimen in Storage Container.",\N,"positionDimensionOne","267670154"
"29",\N,\N,\N,"AssociationName_1",\N
"30",\N,\N,\N,"AssociationName_2",\N
"31",\N,\N,\N,"AssociationName_3",\N
"32",\N,\N,\N,"AssociationName_4",\N
"33",\N,\N,\N,"AssociationName_5",\N
"34",\N,\N,\N,"AssociationName_6",\N
"35",\N,\N,\N,"AssociationName_7",\N
"36",\N,\N,\N,"AssociationName_8",\N
"37",\N,\N,\N,"AssociationName_9",\N
"38",\N,\N,\N,"AssociationName_10",\N
"39",\N,\N,\N,"AssociationName_11",\N
"40","2007-10-10","An object that can be used to hold things.","2007-10-10","edu.wustl.catissuecore.domain.Container",\N
"41",\N,\N,\N,"AssociationName_4",\N
"42",\N,\N,\N,"AssociationName_3",\N
"43",\N,\N,\N,"AssociationName_2",\N
"44",\N,\N,\N,"AssociationName_1",\N
"45",\N,"A written explanation about container.",\N,"comment","1594949321"
"46",\N,"Is no space available in the container to store more specimens?",\N,"full","1594949322"
"47",\N,"A machine-readable unique name/information assigned to the container.",\N,"barcode","1594949320"
"48",\N,"Reference to dimensional position one of the container in its two dimensional parent container.",\N,"positionDimensionOne","1594949324"
"49",\N,"Reference to dimensional position two of the container in its two dimensional parent container.",\N,"positionDimensionTwo","1594949325"
"50",\N,"Activity status of the container.",\N,"activityStatus","1594949319"
"51",\N,"A human readable unique name assigned to the container.",\N,"name","1594949323"
"52",\N,"System generated unique identifier.",\N,"id","954196821"
"53","2007-10-10","A collection of specimens arranged in an ordered pattern.  ","2007-10-10","edu.wustl.catissuecore.domain.SpecimenArray",\N
"54",\N,\N,\N,"AssociationName_7",\N
"55",\N,\N,\N,"AssociationName_6",\N
"56",\N,\N,\N,"AssociationName_5",\N
"57",\N,"System generated unique identifier.",\N,"id","954196821"
"58",\N,"A human readable unique name assigned to the container.",\N,"name","1594949323"
"59",\N,"Activity status of the container.",\N,"activityStatus","1594949319"
"60",\N,"Whether this specimen array is available for distribution or any other purpose.",\N,"available","1924296045"
"61",\N,"Reference to dimensional position two of the container in its two dimensional parent container.",\N,"positionDimensionTwo","1594949325"
"62",\N,"Reference to dimensional position one of the container in its two dimensional parent container.",\N,"positionDimensionOne","1594949324"
"63",\N,"A machine-readable unique name/information assigned to the container.",\N,"barcode","1594949320"
"64",\N,"Is no space available in the container to store more specimens?",\N,"full","1594949322"
"65",\N,"A written explanation about container.",\N,"comment","1594949321"
"66",\N,\N,\N,"AssociationName_1",\N
"67",\N,\N,\N,"AssociationName_2",\N
"68",\N,\N,\N,"AssociationName_3",\N
"69",\N,\N,\N,"AssociationName_4",\N
"70","2007-10-10","A physically discreet container that is used to store a specimen  e.g. Box, Freezer etc","2007-10-10","edu.wustl.catissuecore.domain.StorageContainer",\N
"71",\N,\N,\N,"AssociationName_9",\N
"72",\N,\N,\N,"AssociationName_8",\N
"73",\N,\N,\N,"AssociationName_7",\N
"74",\N,\N,\N,"AssociationName_6",\N
"75",\N,\N,\N,"AssociationName_5",\N
"76",\N,"System generated unique identifier.",\N,"id","954196821"
"77",\N,"A human readable unique name assigned to the container.",\N,"name","1594949323"
"78",\N,"Activity status of the container.",\N,"activityStatus","1594949319"
"79",\N,"Reference to dimensional position two of the container in its two dimensional parent container.",\N,"positionDimensionTwo","1594949325"
"80",\N,"Reference to dimensional position one of the container in its two dimensional parent container.",\N,"positionDimensionOne","1594949324"
"81",\N,"A machine-readable unique name/information assigned to the container.",\N,"barcode","1594949320"
"82",\N,"Is no space available in the container to store more specimens?",\N,"full","1594949322"
"83",\N,"A written explanation about container.",\N,"comment","1594949321"
"84",\N,"Intended temperature of the storage container.",\N,"tempratureInCentigrade","-345713105"
"85",\N,\N,\N,"AssociationName_1",\N
"86",\N,\N,\N,"AssociationName_2",\N
"87",\N,\N,\N,"AssociationName_3",\N
"88",\N,\N,\N,"AssociationName_4",\N
"89","2007-10-10","A physical location associated with biospecimen collection, storage, processing, or utilization","2007-10-10","edu.wustl.catissuecore.domain.Site",\N
"90",\N,\N,\N,"AssociationName_2",\N
"91",\N,\N,\N,"AssociationName_1",\N
"92",\N,"Defines whether this Site record can be queried (Active) or not queried (Inactive) by any actor.",\N,"activityStatus","1591666435"
"93",\N,"Name of the physical location.",\N,"name","1591666437"
"94",\N,"System generated unique identifier.",\N,"id","954196821"
"95",\N,"Email address of the site.",\N,"emailAddress","1591666436"
"96",\N,"Function of the site (e.g. Collection site, repository, or laboratory)",\N,"type","1591666438"
"97","2007-10-10","A person who interacts with the system and/or involved in the process of biospecimen collection, processing, or utilization","2007-10-10","edu.wustl.catissuecore.domain.User",\N
"98",\N,\N,\N,"AssociationName_5",\N
"99",\N,"Last name of the User",\N,"lastName","665011496"
"100",\N,"Common Security Module linking attribute",\N,"csmUserId","665011493"
"101",\N,"System generated unique identifier.",\N,"id","954196821"
"102",\N,"Date, on which user was added to the system",\N,"startDate","665011498"
"103",\N,"Defines whether the user record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","665011491"
"104",\N,"First Name of the User",\N,"firstName","665011495"
"105",\N,"Comments given by the approver.",\N,"comments","665011492"
"106",\N,"Login name for login into the system",\N,"loginName","665011497"
"107",\N,"Email address of the user",\N,"emailAddress","665011494"
"108",\N,\N,\N,"AssociationName_1",\N
"109",\N,\N,\N,"AssociationName_2",\N
"110",\N,\N,\N,"AssociationName_3",\N
"111",\N,\N,\N,"AssociationName_4",\N
"112","2007-10-10","This class maintains all the passwords corresponding to a user","2007-10-10","edu.wustl.catissuecore.domain.Password",\N
"113",\N,"Password for login into the system",\N,"password","-2034531248"
"114",\N,"Date on which this password was set",\N,"updateDate","-2034531247"
"115",\N,"System generated unique identifier.",\N,"id","954196821"
"116","2007-10-10","A set of attributes that defines the physical location of a User or Site","2007-10-10","edu.wustl.catissuecore.domain.Address",\N
"117",\N,"Fax number",\N,"faxNumber","-253668781"
"118",\N,"City",\N,"city","-253668783"
"119",\N,"State",\N,"state","-253668779"
"120",\N,"Zip code",\N,"zipCode","-253668777"
"121",\N,"Phone number",\N,"phoneNumber","-253668780"
"122",\N,"Country",\N,"country","-253668782"
"123",\N,"Multi-Line street address.",\N,"street","-253668778"
"124",\N,"System generated unique identifier.",\N,"id","954196821"
"125","2007-10-10","An institution to which a user belongs to.","2007-10-10","edu.wustl.catissuecore.domain.Institution",\N
"126",\N,"Name of the Institution.",\N,"name","698955384"
"127",\N,"System generated unique identifier.",\N,"id","954196821"
"128","2007-10-10","A collection of scientist and/or clinician users with a common research objective related to biospecimen collection and utilization","2007-10-10","edu.wustl.catissuecore.domain.CancerResearchGroup",\N
"129",\N,"Name of the cancer research group.",\N,"name","-898302170"
"130",\N,"System generated unique identifier.",\N,"id","954196821"
"131","2007-10-10","A department to which a user belongs to","2007-10-10","edu.wustl.catissuecore.domain.Department",\N
"132",\N,"Name of the department",\N,"name","938157387"
"133",\N,"System generated unique identifier.",\N,"id","954196821"
"134","2007-10-10","A generic term which defines the template for different container types.","2007-10-10","edu.wustl.catissuecore.domain.ContainerType",\N
"135",\N,\N,\N,"AssociationName_1",\N
"136",\N,"Defines whether this continerType record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","-773971968"
"137",\N,"Human understandable name assigned to dimension one.",\N,"oneDimensionLabel","-773971965"
"138",\N,"A written explanation about the container type.",\N,"comment","-773971967"
"139",\N,"Human understandable name assigned to dimension two.",\N,"twoDimensionLabel","-773971964"
"140",\N,"A human readable unique name assigned to container type.",\N,"name","-773971966"
"141",\N,"System generated unique identifier.",\N,"id","954196821"
"142","2007-10-10","Capacity defined for a storage container","2007-10-10","edu.wustl.catissuecore.domain.Capacity",\N
"143",\N,"Number of objects that can be stored in dimension one.",\N,"oneDimensionCapacity","-1898352979"
"144",\N,"Number of objects that can be stored in dimension two.",\N,"twoDimensionCapacity","-1898352978"
"145",\N,"System generated unique identifier.",\N,"id","954196821"
"146","2007-10-10","Defines a template for a storage container. The template can be used to define multiple storage containers.","2007-10-10","edu.wustl.catissuecore.domain.StorageType",\N
"147",\N,\N,\N,"AssociationName_3",\N
"148",\N,\N,\N,"AssociationName_2",\N
"149",\N,\N,\N,"AssociationName_1",\N
"150",\N,"Defines whether this continerType record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","-773971968"
"151",\N,"Human understandable name assigned to dimension one.",\N,"oneDimensionLabel","-773971965"
"152",\N,"A written explanation about the container type.",\N,"comment","-773971967"
"153",\N,"Intended temperature of the storage container template.",\N,"defaultTempratureInCentigrade","-1825881256"
"154",\N,"Human understandable name assigned to dimension two.",\N,"twoDimensionLabel","-773971964"
"155",\N,"A human readable unique name assigned to container type.",\N,"name","-773971966"
"156",\N,"System generated unique identifier.",\N,"id","954196821"
"157","2007-10-10","Defines a template for a specimen array. The template can be used to define multiple SpecimenArray.","2007-10-10","edu.wustl.catissuecore.domain.SpecimenArrayType",\N
"158",\N,\N,\N,"AssociationName_1",\N
"159",\N,"Defines whether this continerType record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","-773971968"
"160",\N,"Human understandable name assigned to dimension one.",\N,"oneDimensionLabel","-773971965"
"161",\N,"A written explanation about the container type.",\N,"comment","-773971967"
"162",\N,"Human understandable name assigned to dimension two.",\N,"twoDimensionLabel","-773971964"
"163",\N,"Defines the class of specimens that an array can hold. E.g. Molecular, Tissue, Fluid or Cell.",\N,"specimenClass","-1260035607"
"164",\N,"A human readable unique name assigned to container type.",\N,"name","-773971966"
"165",\N,"System generated unique identifier.",\N,"id","954196821"
"166","2007-10-10","A set of procedures that govern the collection and/or distribution of biospecimens","2007-10-10","edu.wustl.catissuecore.domain.SpecimenProtocol",\N
"167",\N,\N,\N,"AssociationName_1",\N
"168",\N,"Date on which the protocol is activated.",\N,"startDate","81095906"
"169",\N,"Full title assigned to the protocol",\N,"title","81095907"
"170",\N,"Defines whether this SpecimenProtocol record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","81095900"
"171",\N,"IRB approval number.",\N,"irbIdentifier","81095904"
"172",\N,"Number of anticipated cases need for the protocol.",\N,"enrollment","81095903"
"173",\N,"Abbreviated title assigned to the protocol",\N,"shortTitle","81095905"
"174",\N,"URL to the document that describes detailed information for the biospecimen protocol.",\N,"descriptionURL","81095901"
"175",\N,"Date on which the protocol is marked as closed.",\N,"endDate","81095902"
"176",\N,"System generated unique identifier.",\N,"id","954196821"
"177","2007-10-10","A set of written procedures that describe how a biospecimen is prospectively collected from a participant.","2007-10-10","edu.wustl.catissuecore.domain.CollectionProtocol",\N
"178",\N,\N,\N,"AssociationName_4",\N
"179",\N,"System generated unique identifier.",\N,"id","954196821"
"180",\N,"Date on which the protocol is marked as closed.",\N,"endDate","81095902"
"181",\N,"URL to the document that describes detailed information for the biospecimen protocol.",\N,"descriptionURL","81095901"
"182",\N,"Abbreviated title assigned to the protocol",\N,"shortTitle","81095905"
"183",\N,"Number of anticipated cases need for the protocol.",\N,"enrollment","81095903"
"184",\N,"IRB approval number.",\N,"irbIdentifier","81095904"
"185",\N,"Check whether all aliquotes in specimens which belong to that CP in same container or not.",\N,"aliquotInSameContainer","1316884367"
"186",\N,"Defines whether this SpecimenProtocol record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","81095900"
"187",\N,"Full title assigned to the protocol",\N,"title","81095907"
"188",\N,"Date on which the protocol is activated.",\N,"startDate","81095906"
"189",\N,\N,\N,"AssociationName_1",\N
"190",\N,\N,\N,"AssociationName_2",\N
"191",\N,\N,\N,"AssociationName_3",\N
"192","2007-10-10","An abbreviated set of written procedures that describe how a previously collected specimen will be utilized.  Note that specimen may be collected with one collection protocol and then later utilized by multiple different studies (Distribution protocol).","2007-10-10","edu.wustl.catissuecore.domain.DistributionProtocol",\N
"193",\N,\N,\N,"AssociationName_1",\N
"194",\N,"Date on which the protocol is activated.",\N,"startDate","81095906"
"195",\N,"Full title assigned to the protocol",\N,"title","81095907"
"196",\N,"Defines whether this SpecimenProtocol record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","81095900"
"197",\N,"IRB approval number.",\N,"irbIdentifier","81095904"
"198",\N,"Number of anticipated cases need for the protocol.",\N,"enrollment","81095903"
"199",\N,"Abbreviated title assigned to the protocol",\N,"shortTitle","81095905"
"200",\N,"System generated unique identifier.",\N,"id","954196821"
"201",\N,"Date on which the protocol is marked as closed.",\N,"endDate","81095902"
"202",\N,"URL to the document that describes detailed information for the biospecimen protocol.",\N,"descriptionURL","81095901"
"203","2007-10-10",\N,"2007-10-10","edu.wustl.catissuecore.domain.ConsentTier",\N
"204",\N,\N,\N,"statement","442140730"
"205",\N,"System generated unique identifier.",\N,"id","954196821"
"206","2007-10-10","Quantity of any measurable data","2007-10-10","edu.wustl.catissuecore.domain.Quantity",\N
"207",\N,"System generated unique identifier.",\N,"id","954196821"
"208","2007-10-10","Quantity measures as microgram","2007-10-10","edu.wustl.catissuecore.domain.QuantityInMicrogram",\N
"209",\N,"value of quantity",\N,"value","1046310426"
"210",\N,"System generated unique identifier.",\N,"id","954196821"
"211","2007-10-10","Quantity measures in grams","2007-10-10","edu.wustl.catissuecore.domain.QuantityInGram",\N
"212",\N,"value of quantity",\N,"value","-944339520"
"213",\N,"System generated unique identifier.",\N,"id","954196821"
"214","2007-10-10","Quantity measures in milliliters","2007-10-10","edu.wustl.catissuecore.domain.QuantityInMilliliter",\N
"215",\N,"value of quantity",\N,"value","-2121745705"
"216",\N,"System generated unique identifier.",\N,"id","954196821"
"217","2007-10-10","Quantity measures as cell count","2007-10-10","edu.wustl.catissuecore.domain.QuantityInCount",\N
"218",\N,"value of quantity",\N,"value","-747353304"
"219",\N,"System generated unique identifier.",\N,"id","954196821"
"220","2007-10-10","The combined anatomic state of a specimen","2007-10-10","edu.wustl.catissuecore.domain.SpecimenCharacteristics",\N
"221",\N,"For bilateral sites, left or right",\N,"tissueSide","2067377962"
"222",\N,"The anatomical site from which a specimen is derived.",\N,"tissueSite","2067377963"
"223",\N,"System generated unique identifier.",\N,"id","954196821"
"224","2007-10-10","A molecular derivative (I.e. RNA / DNA / Protein Lysate) obtained from a specimen.","2007-10-10","edu.wustl.catissuecore.domain.MolecularSpecimen",\N
"225",\N,\N,\N,"AssociationName_21",\N
"226",\N,\N,\N,"AssociationName_20",\N
"227",\N,\N,\N,"AssociationName_19",\N
"228",\N,\N,\N,"AssociationName_18",\N
"229",\N,\N,\N,"AssociationName_17",\N
"230",\N,\N,\N,"AssociationName_16",\N
"231",\N,\N,\N,"AssociationName_15",\N
"232",\N,\N,\N,"AssociationName_14",\N
"233",\N,\N,\N,"AssociationName_13",\N
"234",\N,\N,\N,"AssociationName_12",\N
"235",\N,\N,\N,"AssociationName_11",\N
"236",\N,"System generated unique identifier.",\N,"id","954196821"
"237",\N,"Reference to dimensional position two of the specimen in Storage Container.",\N,"positionDimensionTwo","267670155"
"238",\N,\N,\N,"collectionStatus","-292159954"
"239",\N,"Histopathological character of the specimen e.g. Non-Malignant, Malignant, Non-Malignant Diseased, Pre-Malignant.",\N,"pathologicalStatus","267670153"
"240",\N,"Is this specimen still physically available in the tissue bank?",\N,"available","267670148"
"241",\N,\N,\N,"isCollectionProtocolRequirement","-292159955"
"242",\N,"Barcode assigned to the specimen.",\N,"barcode","267670149"
"243",\N,\N,\N,"createdOn","-292159956"
"244",\N,"Type of specimen. e.g. Serum, Plasma, Blood, Fresh Tissue etc.",\N,"type","267670156"
"245",\N,"Human readable unique label/name assigned to specimen.",\N,"label","267670151"
"246",\N,"Defines whether this Specimen record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","267670147"
"247",\N,"Shows specimen's heredity status e.g. Original, Derivative, Aliquot",\N,"lineage","267670152"
"248",\N,"Comments on specimen.",\N,"comment","267670150"
"249",\N,"Concentration of liquid molecular specimen measured in microgram per microlitter.",\N,"concentrationInMicrogramPerMicroliter","-1373132179"
"250",\N,"Reference to dimensional position one of the specimen in Storage Container.",\N,"positionDimensionOne","267670154"
"251",\N,\N,\N,"AssociationName_1",\N
"252",\N,\N,\N,"AssociationName_2",\N
"253",\N,\N,\N,"AssociationName_3",\N
"254",\N,\N,\N,"AssociationName_4",\N
"255",\N,\N,\N,"AssociationName_5",\N
"256",\N,\N,\N,"AssociationName_6",\N
"257",\N,\N,\N,"AssociationName_7",\N
"258",\N,\N,\N,"AssociationName_8",\N
"259",\N,\N,\N,"AssociationName_9",\N
"260",\N,\N,\N,"AssociationName_10",\N
"261","2007-10-10","A biospecimen composed of purified single cells not in the context of a tissue or other biospecimen fluid","2007-10-10","edu.wustl.catissuecore.domain.CellSpecimen",\N
"262",\N,\N,\N,"AssociationName_21",\N
"263",\N,\N,\N,"AssociationName_20",\N
"264",\N,\N,\N,"AssociationName_19",\N
"265",\N,\N,\N,"AssociationName_18",\N
"266",\N,\N,\N,"AssociationName_17",\N
"267",\N,\N,\N,"AssociationName_16",\N
"268",\N,\N,\N,"AssociationName_15",\N
"269",\N,\N,\N,"AssociationName_14",\N
"270",\N,\N,\N,"AssociationName_13",\N
"271",\N,\N,\N,"AssociationName_12",\N
"272",\N,"System generated unique identifier.",\N,"id","954196821"
"273",\N,"Reference to dimensional position two of the specimen in Storage Container.",\N,"positionDimensionTwo","267670155"
"274",\N,\N,\N,"collectionStatus","-292159954"
"275",\N,"Histopathological character of the specimen e.g. Non-Malignant, Malignant, Non-Malignant Diseased, Pre-Malignant.",\N,"pathologicalStatus","267670153"
"276",\N,"Is this specimen still physically available in the tissue bank?",\N,"available","267670148"
"277",\N,\N,\N,"isCollectionProtocolRequirement","-292159955"
"278",\N,"Barcode assigned to the specimen.",\N,"barcode","267670149"
"279",\N,\N,\N,"createdOn","-292159956"
"280",\N,"Type of specimen. e.g. Serum, Plasma, Blood, Fresh Tissue etc.",\N,"type","267670156"
"281",\N,"Human readable unique label/name assigned to specimen.",\N,"label","267670151"
"282",\N,"Defines whether this Specimen record can be queried (Active) or not queried (Inactive) by any actor",\N,"activityStatus","267670147"
"283",\N,"Shows specimen's heredity status e.g. Original, Derivative, Aliquot",\N,"lineage","267670152"
"284",\N,"Comments on specimen.",\N,"comment","267670150"
