Clinical History	|CDX	|1
Final Diagnosis	|FIN	|2
Final Neuropathological Diagnosis	|ANF	|3
Diagnosis Comment	|DXC	|4
Neuro Diagnosis Comment	|ANC	|5
Microscopic Description	|MDT	|6
Microscopic Neuropathology	|ANM	|7
Gross Description	|GDT	|8
Other Gross Description	|[blank]	|9
Neuro Other Gross Description	|[blank]	|10
Gross Neuropathology	|ANG	|11
Consult Material Description	|SBD	|12
Addendum	|ADX	|13
Addendum Comment	|ADC	|14
Neuro Addendum Comment	|[blank]	|15
Neuro Addendum Diagnosis	|[blank]	|16
Neuro Other Text	|[blank]	|17
Intraoperative Diagnosis	|FRO	|18
Provisional Diagnosis	|PDX	|19
Neuro Provisional Diagnosis	|ANP	|20
Provisional Comment	|PCM	|21
Neuro Provisional Comment	|[blank]	|22
Report Comments	|RPC	|23
Interpretation	|PIN	|24
Other Related Clinical Data	|ORD	|25
Results	|PRC	|26
Other Diagnoses	|ODX	|27
Special Requests	|[blank]	|28
Summary Discussion	|CDI	|29
