"1","","LabAnnotation","1283","","*","indicates required fields.","","","1226",""
"2","","FamilyHistoryAnnotation","1290","","*","indicates required fields.","","","1226",""
"3","","TreatmentRegimen","1227","","*","indicates required fields.","","","1226",""
"4","","Duration","1236","","*","indicates required fields.","","","",""
"5","","TreatmentAnnotation","1264","","*","indicates required fields.","","","1226",""
"6","","RadRXAnnotation","1271","","*","indicates required fields.","","5","1226",""
"7","","ChemoRXAnnotation","1274","","*","indicates required fields.","","5","1226",""
"8","","EnvironmentalExposuresHealthAnnotation","1230","","*","indicates required fields.","","","1226",""
"9","","SmokingHealthAnnotation","1297","","*","indicates required fields.","","8","1226",""
"10","","AlcoholHealthAnnotation","1241","","*","indicates required fields.","","8","1226",""
"11","","HealthExaminationAnnotation","1249","","*","indicates required fields.","","","1226",""
"12","","RecurrenceHealthExaminationAnnotation","1254","","*","indicates required fields.","","11","1226",""
"13","","DistantRecurrenceHealthExaminationAnnotation","1279","","*","indicates required fields.","","12","1226",""
"14","","LocalRecurrenceHealthExaminationAnnotation","1277","","*","indicates required fields.","","12","1226",""
"15","","NoEvidentDiseaseHealthAnnotation","1295","","*","indicates required fields.","","11","1226",""
"16","","NewDiagnosisHealthAnnotation","1300","","*","indicates required fields.","","11","1226",""
"17","","HistologicVariantType","1336","","*","indicates required fields.","","","",""
"18","","HistologicType","1332","","*","indicates required fields.","","","",""
"19","","Invasion","1339","","*","indicates required fields.","","","",""
"20","","HistologicGrade","1344","","*","indicates required fields.","","","",""
"21","","SpecimenBaseSolidTissuePathologyAnnotation","1325","","*","indicates required fields.","","","1317",""
"22","","ColorectalSpecimenPathologyAnnotation","1359","","*","indicates required fields.","","21","1317",""
"23","","PancreasSpecimenPathologyAnnotation","1375","","*","indicates required fields.","","21","1317",""
"24","","MelanomaSpecimenPathologyAnnotation","1349","","*","indicates required fields.","","21","1317",""
"25","","CNSSpecimenPathologyAnnotation","1363","","*","indicates required fields.","","21","1317",""
"26","","ProstateSpecimenPathologyAnnotation","1377","","*","indicates required fields.","","21","1317",""
"27","","KidneySpecimenPathologyAnnotation","1357","","*","indicates required fields.","","21","1317",""
"28","","LungSpecimenPathologyAnnotation","1386","","*","indicates required fields.","","21","1317",""
"29","","BreastSpecimenPathologyAnnotation","1365","","*","indicates required fields.","","21","1317",""
"30","","AdditionalFinding","1400","","*","indicates required fields.","","","",""
"31","","Details","1404","","*","indicates required fields.","","","",""
"32","","GleasonScore","1408","","*","indicates required fields.","","","",""
"33","","NottinghamHistologicScore","1414","","*","indicates required fields.","","","",""
"34","","GeneralHealthDiagnosis","1421","","*","indicates required fields.","","","",""
"35","","TreatmentOrder","1427","","*","indicates required fields.","","","",""
"36","","RadiationTherapy","1434","","*","indicates required fields.","","6","",""
"37","","Chemotherapy","1432","","*","indicates required fields.","","7","",""
"38","","HistologicVariantType","1451","","*","indicates required fields.","","","",""
"39","","HistologicType","1447","","*","indicates required fields.","","","",""
"40","","Details","1458","","*","indicates required fields.","","","",""
"41","","AdditionalFinding","1454","","*","indicates required fields.","","","",""
"42","","BasePathologyAnnotation","1440","","*","indicates required fields.","","","1436",""
"43","","ImmunoPhenotyping","1584","","*","indicates required fields.","","","",""
"44","","Cytogenetics","1589","","*","indicates required fields.","","","",""
"45","","BaseHaematologyPathologyAnnotation","1577","","*","indicates required fields.","","42","1436",""
"46","","Invasion","1468","","*","indicates required fields.","","","",""
"47","","TumorSize","1473","","*","indicates required fields.","","","",""
"48","","HistologicGrade","1479","","*","indicates required fields.","","","",""
"49","","RegionalLymphNode","1489","","*","indicates required fields.","","","",""
"50","","MetastasisTissueSite","1501","","*","indicates required fields.","","","",""
"51","","DistantMetastasis","1497","","*","indicates required fields.","","","",""
"52","","PrimaryTumorStage","1505","","*","indicates required fields.","","","",""
"53","","PathologicalStaging","1484","","*","indicates required fields.","","","",""
"54","","TissueSide","1513","","*","indicates required fields.","","","",""
"55","","TumorTissueSite","1508","","*","indicates required fields.","","","",""
"56","","BaseSolidTissuePathologyAnnotation","1461","","*","indicates required fields.","","42","1436",""
"57","","GleasonScore","1551","","*","indicates required fields.","","","",""
"58","","ProstatePathologyAnnotation","1545","","*","indicates required fields.","","56","1436",""
"59","","ProstateMarginLocation","1663","","*","indicates required fields.","","","",""
"60","","RadicalProstatectomyMargin","1680","","*","indicates required fields.","","","",""
"61","","ExtraprostaticExtensionTissueSites","1690","","*","indicates required fields.","","","",""
"62","","ExtraprostaticExtension","1685","","*","indicates required fields.","","","",""
"63","","RadicalProstatectomyPathologyAnnotation","1676","","*","indicates required fields.","","58","1436",""
"64","","NeedleBiopsyProstatePathologyAnnotation","1652","","*","indicates required fields.","","58","1436",""
"65","","RetropubicEnucleationPathologyAnnotation","1794","","*","indicates required fields.","","58","1436",""
"66","","TransurethralProstaticResectionPathologyAnnotation","1625","","*","indicates required fields.","","58","1436",""
"67","","OtherResectedOrgans","1701","","*","indicates required fields.","","","",""
"68","","CarcinomaInSituStatus","1437","","*","indicates required fields.","","","",""
"69","","PancreasMarginUninvolvedByInvasiveCarcinoma","1620","","*","indicates required fields.","","","",""
"70","","PancreasMarginInvolvedByInvasiveCarcinoma","1562","","*","indicates required fields.","","","",""
"71","","PancreasMargin","1615","","*","indicates required fields.","","","",""
"72","","PancreasPathologyAnnotation","1705","","*","indicates required fields.","","56","1436",""
"73","","LungPathologyAnnotation","1516","","*","indicates required fields.","","56","1436",""
"74","","LungBiopsyPathologyAnnotation","1559","","*","indicates required fields.","","73","1436",""
"75","","DirectExtensionOfTumor","1524","","*","indicates required fields.","","","",""
"76","","LungResectionMarginsUninvolved","1533","","*","indicates required fields.","","","",""
"77","","LungResectionMargin","1527","","*","indicates required fields.","","","",""
"78","","LungResectionBasedPathologyAnnotation","1518","","*","indicates required fields.","","73","1436",""
"79","","KidneyPathologyAnnotation","1536","","*","indicates required fields.","","56","1436",""
"80","","KidneyBiopsyBasedPathologyAnnotation","1539","","","","","79","1436",""
"81","","MacroscopicExtentOfTumor","1574","","*","indicates required fields.","","","",""
"82","","KidneyMarginLocation","1570","","*","indicates required fields.","","","",""
"83","","KidneyNephrectomyMargin","1566","","*","indicates required fields.","","","",""
"84","","KidneyNephrectomyBasedPathologyAnnotation","1797","","*","indicates required fields.","","79","1436",""
"85","","UninvolvedMelanomaMargin","1556","","*","indicates required fields.","","","",""
"86","","LateralMelanomaMargin","1749","","*","indicates required fields.","","","",""
"87","","SatelliteNodule","1605","","*","indicates required fields.","","","",""
"88","","DeepMelanomaMargin","1600","","*","indicates required fields.","","","",""
"89","","MelanomaPathologyAnnotation","1735","","*","indicates required fields.","","56","1436",""
"90","","CNSMarginLocation","1781","","*","indicates required fields.","","","",""
"91","","CNSMargin","1777","","*","indicates required fields.","","","",""
"92","","CNSPathologyAnnotation","1773","","*","indicates required fields.","","56","1436",""
"93","","NottinghamHistologicScore","1709","","*","indicates required fields.","","","",""
"94","","BreastMarginInvolved","1659","","*","indicates required fields.","","","",""
"95","","BreastMarginUninvolved","1673","","*","indicates required fields.","","","",""
"96","","BreastMargin","1667","","*","indicates required fields.","","","",""
"97","","Microcalcification","1762","","*","indicates required fields.","","","",""
"98","","BreastPathologyAnnotation","1754","","*","indicates required fields.","","56","1436",""
"99","","ColorectalPathologyAnnotation","1593","","*","indicates required fields.","","56","1436",""
"100","","ColorectalLocalExcisionMarginUninvolved","1770","","*","indicates required fields.","","","",""
"101","","LocalExcisionColorectalLateralMargin","1765","","*","indicates required fields.","","","",""
"102","","DistanceFromAnalVerge","1640","","*","indicates required fields.","","","",""
"103","","LocalExcisionColorectalDeepMargin","1784","","*","indicates required fields.","","","",""
"104","","SpecimenIntegrity","1541","","*","indicates required fields.","","","",""
"105","","LocalExcisionBasedColorectalPathologyAnnotation","1788","","*","indicates required fields.","","99","1436",""
"106","","PolypConfiguration","1644","","*","indicates required fields.","","","",""
"107","","ExcionalBiopsyMarginUninvolved","1612","","*","indicates required fields.","","","",""
"108","","ExcisionalBiopsyColorectalLateralOrMucosalMargin","1648","","*","indicates required fields.","","","",""
"109","","ExcisionalBiopsyColorectalDeepMargin","1608","","*","indicates required fields.","","","",""
"110","","ExcisionalBiopsyBasedColorectalPathologyAnnotation","1631","","*","indicates required fields.","","99","1436",""
"111","","ColorectalResectedMarginUninvolved","1697","","","","","","",""
"112","","ProximalMargin","1723","","*","indicates required fields.","","","",""
"113","","DistalMargin","1727","","*","indicates required fields.","","","",""
"114","","MesentricMargin","1693","","*","indicates required fields.","","","",""
"115","","RadialMargin","1731","","*","indicates required fields.","","","",""
"116","","ResectionBasedColorectalPathologyAnnotation","1715","","*","indicates required fields.","","99","1436",""
"117","","SpecimenSize","1828","","*","indicates required fields.","","","",""
"118","","SizeOfSpecimen","1838","","*","indicates required fields.","","47","",""
"119","","SizeOfInvasiveCarcinoma","1836","","*","indicates required fields.","","47","",""
"120","","PolypSize","1841","","*","indicates required fields.","","47","",""
"121","","DistanceOfInvasiveCarcinoma","1847","","*","indicates required fields.","","102","",""
"122","","DistanceOfAdenoma","1845","","*","indicates required fields.","","102","",""
